               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  38,            0.015136,            0.008292,                   0,             0.99999,                   1,               0.995,             0.88721,           0.0034685,           0.0019901,                   0,           0.0072872,           0.0072872,           0.0072872
                  39,            0.015516,           0.0081168,                   0,             0.99999,                   1,               0.995,              0.8805,           0.0033491,            0.001978,                   0,           0.0071566,           0.0071566,           0.0071566
                  40,            0.014808,            0.008238,                   0,             0.99298,                   1,             0.99486,             0.86881,           0.0038843,            0.002322,                   0,           0.0070243,           0.0070243,           0.0070243
                  41,            0.014298,           0.0081704,                   0,                   1,             0.99999,               0.995,             0.90002,           0.0033271,            0.001819,                   0,           0.0068906,           0.0068906,           0.0068906
                  42,            0.011893,           0.0077992,                   0,             0.99999,                   1,               0.995,             0.88107,           0.0039608,           0.0018125,                   0,           0.0067555,           0.0067555,           0.0067555
                  43,            0.013142,           0.0079202,                   0,             0.99999,                   1,               0.995,               0.895,           0.0036675,           0.0018329,                   0,           0.0066191,           0.0066191,           0.0066191
                  44,            0.011115,           0.0078338,                   0,                   1,                   1,               0.995,             0.86971,           0.0037528,           0.0019083,                   0,           0.0064816,           0.0064816,           0.0064816
                  45,            0.013686,           0.0076467,                   0,             0.99999,                   1,               0.995,             0.90203,           0.0033568,           0.0018212,                   0,           0.0063432,           0.0063432,           0.0063432
                  46,            0.012547,            0.007437,                   0,             0.99999,                   1,               0.995,             0.89736,           0.0033433,           0.0018032,                   0,            0.006204,            0.006204,            0.006204
                  47,            0.012171,           0.0077233,                   0,                   1,                   1,               0.995,             0.90553,           0.0031395,            0.001878,                   0,            0.006064,            0.006064,            0.006064
                  48,            0.012389,           0.0071885,                   0,                   1,             0.99998,               0.995,             0.90626,           0.0031808,           0.0018707,                   0,           0.0059235,           0.0059235,           0.0059235
                  49,            0.010303,           0.0076891,                   0,             0.99999,                   1,               0.995,              0.9017,           0.0033993,           0.0018071,                   0,           0.0057826,           0.0057826,           0.0057826
                  50,            0.013512,           0.0079165,                   0,                   1,             0.99999,               0.995,             0.91497,           0.0029563,           0.0017419,                   0,           0.0056413,           0.0056413,           0.0056413
                  51,            0.011881,           0.0073614,                   0,                   1,                   1,               0.995,             0.90445,           0.0031075,           0.0018692,                   0,              0.0055,              0.0055,              0.0055
                  52,            0.012586,           0.0076974,                   0,                   1,                   1,               0.995,             0.91603,           0.0029325,            0.001782,                   0,           0.0053587,           0.0053587,           0.0053587
                  53,            0.011428,           0.0073949,                   0,             0.99999,                   1,               0.995,             0.91105,           0.0029817,           0.0018789,                   0,           0.0052174,           0.0052174,           0.0052174
                  54,             0.01249,            0.007651,                   0,                   1,                   1,               0.995,             0.90966,           0.0030847,           0.0018672,                   0,           0.0050765,           0.0050765,           0.0050765
                  55,            0.012405,           0.0073699,                   0,                   1,                   1,               0.995,             0.91653,           0.0029426,           0.0018814,                   0,            0.004936,            0.004936,            0.004936
                  56,             0.01035,           0.0075035,                   0,             0.99998,                   1,               0.995,             0.90744,           0.0030646,           0.0018365,                   0,            0.004796,            0.004796,            0.004796
                  57,           0.0095298,           0.0070327,                   0,             0.99998,                   1,               0.995,             0.90568,           0.0031975,           0.0018141,                   0,           0.0046568,           0.0046568,           0.0046568
                  58,            0.010709,            0.006922,                   0,             0.99999,                   1,               0.995,              0.9148,           0.0031341,           0.0018594,                   0,           0.0045184,           0.0045184,           0.0045184
                  59,           0.0099765,           0.0069697,                   0,                   1,                   1,               0.995,             0.90212,           0.0032608,            0.001915,                   0,           0.0043809,           0.0043809,           0.0043809
                  60,            0.010284,            0.006692,                   0,                   1,                   1,               0.995,             0.91417,           0.0029363,           0.0018829,                   0,           0.0042445,           0.0042445,           0.0042445
